date,startup,vertical,subvertical,city,investors,round,amount
2016-02-08,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,Food & Beverage,Seed Funding,8.25
2016-03-08,Xcode,Healthcare,Personal Genomics,Chennai,Healthcare,Private Equity,0.0
2016-03-08,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Gurugram,Consumer Internet,Seed Funding,1.85625
2016-03-08,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Consumer Internet,Seed Funding,7.3425
2016-04-08,Petoo,Consumer Internet,Food Delivery Platform,Bangalore,Consumer Internet,Seed Funding,4.125
2016-04-08,lehlehsports,Others,Sports Arena discovery,Delhi,Others,Seed Funding,0.0
2016-05-08,Tricog,Healthcare,Healthcare Analytics Platform,Bangalore,Healthcare,Private Equity,0.0
2016-06-08,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Technology,Seed Funding,0.22275
2016-08-08,AdPushUp,Technology,Ad optimization Platform,Delhi,Technology,Private Equity,0.0
2016-08-08,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Others,Seed Funding,0.33
2016-08-08,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurugram,eCommerce,Seed Funding,3.67125
2016-08-08,Zipgrid,Consumer Internet,Community services platform,Mumbai,Consumer Internet,Seed Funding,1.65
2016-09-08,MobiDent,Healthcare,Dental Protection Solution,Bangalore,Healthcare,Seed Funding,0.0
2016-09-08,Zeolr/RespirON,Technology,Healthcare related IoT platform,Delhi,Technology,Seed Funding,0.0
2016-10-08,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,Consumer Internet,Seed Funding,4.125
2016-10-08,Bombay Shaving Company,eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,Delhi,eCommerce,Seed Funding,4.95
2016-11-08,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,Consumer Internet,Private Equity,57.75
2016-11-08,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,Consumer Internet,Private Equity,0.0
2016-11-08,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,Consumer Internet,Seed Funding,1.72425
2016-11-08,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,Technology,Private Equity,123.75
2016-12-08,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurugram,Technology,Private Equity,12.375
2016-12-08,Faircent.com,Consumer Internet,peer-to-peer lending platform,Gurugram,Consumer Internet,Private Equity,12.375
2016-12-08,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Technology,Private Equity,128.7
2016-12-08,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurugram,Technology,Seed Funding,4.125
2016-12-08,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,Delhi,Consumer Internet,Seed Funding,0.0
2016-08-15,Buttercups,ECommerce,Women Intimate Wear eTailer,Bangalore,ECommerce,Seed Funding,0.0
2016-08-16,Zappfresh,ECommerce,Raw Meat Products eTailer,Gurugram,ECommerce,Seed Funding,0.0
2016-08-16,OyoRooms,Consumer Internet,Budget Hotels Aggregator,Delhi,Consumer Internet,Private Equity,511.5
2016-08-16,Hike,Consumer Internet,Mobile Messaging App,Delhi,Consumer Internet,Private Equity,1443.75
2016-08-16,Joolz,eCommerce,Online Jewellery Store,Mumbai,eCommerce,Private Equity,4.125
2016-08-16,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,eCommerce,Private Equity,12.375
2016-08-16,Makkajai,Technology,Online & Mobile learning for kids,Pune,Technology,Seed Funding,2.0625
2016-08-16,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Consumer Internet,Seed Funding,0.0
2016-08-17,MaalGaadi,Logistics,Online Logistics Marketplace,Indore,Logistics,Seed Funding,3.09375
2016-08-17,ZiPi,Technology,Mobile Chatbot App,Bangalore,Technology,Seed Funding,0.0
2016-08-17,Appknox,Technology,Mobile security solutions,Bangalore,Technology,Private Equity,5.56875
2016-08-17,Pikkol,Logistics,Packers & Movers,Bangalore,Logistics,Seed Funding,0.0
2016-08-18,Meesho,eCommerce,Mobile based eCommerce SAAS platform,Bangalore,eCommerce,Seed Funding,0.0
2016-08-18,Sesame Software,Technology,Financial Technology Solutions Provider,Kozhikode,Technology,Private Equity,0.0
2016-08-19,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Consumer Internet,Private Equity,165.0
2016-08-19,Digio,Technology,Aadhar based Document Signing platform,Bangalore,Technology,Private Equity,3.09375
2016-08-19,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Technology,Private Equity,0.0
2016-08-22,Zzungry,Consumer Internet,Food Delivery platform,Bangalore,Consumer Internet,Seed Funding,0.0
2016-08-22,Puro Wellness,healthcare,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,healthcare,Private Equity,305.25
2016-08-22,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,Consumer Internet,Private Equity,0.0
2016-08-23,TAC Security,Technology,Cyber-Security Solutions Provider,Delhi,Technology,Seed Funding,0.0
2016-08-23,Notesgen,Consumer Internet,Online Notes Sharing Portal,Delhi,Consumer Internet,Seed Funding,0.825
2016-08-23,NearU,Consumer Internet,Marketing app for retailers,Mumbai,Consumer Internet,Seed Funding,0.0
2016-08-23,Octo.ai,Technology,Artificial Intelligence based marketing platform,Delhi,Technology,Seed Funding,1.65
2016-08-24,ShaadiSaga,Consumer Internet,Wedding Website Creator,Delhi,Consumer Internet,Seed Funding,0.0
2016-08-24,UnaAcademy,Consumer Internet,Free Interactive education platform,Bangalore,Consumer Internet,Private Equity,8.25
2016-08-24,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Technology,Seed Funding,0.825
2016-08-24,Guarented,eCommerce,Home Furnishing rental marketplace,Bangalore,eCommerce,Seed Funding,4.125
2016-08-24,Beyond Evolution,Technology,Mobile Apps & Tech Services provider,Gurugram,Technology,Seed Funding,0.0
2016-08-24,Uber Dreams,eCommerce,Dreams fulfilling marketplace,Mumbai,eCommerce,Seed Funding,4.125
2016-08-24,Convegenius,Education,Edutainment platform,Noida,Education,Private Equity,7.425
2016-08-24,UrbanLadder,eCommerce,Online Furniture Store,Mumbai,eCommerce,Private Equity,24.75
2016-08-24,enCashea,Consumer Internet,Scrap Collection and Recycling platform,Bangalore,Consumer Internet,Seed Funding,0.0
2016-08-25,EngineerBabu,Technology,Mobile App & Web Development company,Indore,Technology,Seed Funding,0.0
2016-08-25,Cult,Healthcare,Health and Fitness Centres,Bangalore,Healthcare,Private Equity,24.75
2016-08-25,WitWorks,Technology,Consumer IoT Startup,Bangalore,Technology,Seed Funding,0.0
2016-08-25,NearFox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,Consumer Internet,Seed Funding,0.0
2016-08-25,ZoomCar,Consumer Internet,Self-driven car booking platform,Bangalore,Consumer Internet,Private Equity,198.0
2016-08-26,Plix,Consumer Internet,Photo and Video Sharing App,Gurugram,Consumer Internet,Seed Funding,4.125
2016-08-26,Mobikwik,Consumer Internet,Digital Wallet platform,Gurugram,Consumer Internet,Private Equity,330.0
2016-08-26,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Consumer Internet,Seed Funding,4.5375
2016-08-26,CrownIt,Consumer Internet,Cashback Mobile app,Gurugram,Consumer Internet,Seed Funding,0.0
2016-08-29,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,Consumer Internet,Private Equity,24.75
2016-08-29,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,Consumer Internet,Private Equity,57.75
2016-08-29,Zolo,Consumer Internet,on-demand online talent marketplace,Noida,Consumer Internet,Private Equity,0.0
2016-08-29,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Consumer Internet,Private Equity,8.25
2016-08-29,LivSpace,Consumer Internet,Online portal for Home Design,Bangalore,Consumer Internet,Private Equity,123.75
2016-08-30,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurugram,Technology,Seed Funding,1.22925
2016-08-30,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,Delhi,Consumer Internet,Seed Funding,0.858
2016-08-30,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,eCommerce,Private Equity,495.0
2016-08-30,CropIn,Technology,Agriculture Technology Solutions,Bangalore,Technology,Private Equity,16.5
2016-08-30,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Consumer Internet,Private Equity,24.75
2016-08-30,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Technology,Private Equity,0.0
2016-08-31,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,eCommerce,Private Equity,43.725
2016-08-31,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,Consumer Internet,Seed Funding,0.0
2016-01-07,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,Consumer Internet,Private Equity,0.0
2016-01-07,DarwinBox,Technology,HR Software Services Startup,Hyderabad,Technology,Seed Funding,0.0
2016-01-07,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Consumer Internet,Seed Funding,4.125
2016-01-07,PressPlay TV,Consumer Internet,Video Content Discovery Platform,Delhi,Consumer Internet,Private Equity,0.0
2016-02-07,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,Consumer Internet,Private Equity,5.775
2016-04-07,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,Consumer Internet,Seed Funding,0.0
2016-04-07,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,Consumer Internet,Private Equity,123.75
2016-04-07,StitchWood,eCommerce,Custom Furniture Online,Mumbai,eCommerce,Seed Funding,1.65
2016-04-07,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Logistics,Private Equity,16.5
2016-04-07,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Consumer Internet,Seed Funding,0.0
2016-04-07,NeoGrowth,Finance,SME Lending platform,Mumbai,Finance,Private Equity,132.0
2016-05-07,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurugram,Consumer Internet,Private Equity,8.25
2016-05-07,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,Consumer Internet,Private Equity,676.5
2016-05-07,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,eCommerce,Seed Funding,14.025
2016-06-07,HappilyUnmarried,eCommerce,Online Merchandize etailer,Delhi,eCommerce,Private Equity,6.105
2016-06-07,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,Technology,Seed Funding,2.0625
2016-06-07,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,Consumer Internet,Seed Funding,2.45025
2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,Technology,Private Equity,16.5
2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,Delhi,Consumer Internet,Private Equity,8.25
2016-07-07,Quickli,Logistics,On-Demand Delivery Startup,Gurugram,Logistics,Private Equity,0.0
2016-07-07,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Technology,Seed Funding,0.0
2016-08-07,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,Consumer Internet,Seed Funding,0.0
2016-08-07,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,Consumer Internet,Private Equity,16.0875
2016-11-07,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,eCommerce,Private Equity,49.5
2016-11-07,Trak N Tell,Technology,Car Tracking & Safety System,Gurugram,Technology,Private Equity,28.875
2016-11-07,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurugram,eCommerce,Private Equity,24.75
2016-12-07,SirionLabs,Technology,SAAS based Service Agreement Management,Gurugram,Technology,Private Equity,101.0625
2016-12-07,GyanDhan,Consumer Internet,Education Focused Financing Platform,Delhi,Consumer Internet,Seed Funding,0.0
2016-12-07,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,Consumer Internet,Private Equity,0.0
2016-12-07,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,Consumer Internet,Seed Funding,0.0
2016-12-07,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,Delhi,Consumer Internet,Seed Funding,0.0
2016-07-13,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",Delhi,Consumer Internet,Private Equity,41.25
2016-07-13,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Consumer Internet,Seed Funding,0.0
2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurugram,Consumer Internet,Seed Funding,4.95
2016-07-13,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,Consumer Internet,Private Equity,11.1375
2016-07-13,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Consumer Internet,Private Equity,0.0
2016-07-13,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,Consumer Internet,Private Equity,41.25
2016-07-13,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurugram,Consumer Internet,Seed Funding,0.0
2016-07-13,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,Healthcare,Seed Funding,0.0
2016-07-14,Augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,eCommerce,Seed Funding,3.7125
2016-07-14,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,Technology,Private Equity,8.8275
2016-07-14,TransTutors / AskIITians,Consumer Internet,Online Education & Tutoring portals,Delhi,Consumer Internet,Private Equity,0.0
2016-07-15,WorkApps,Technology,Enterprise Work Management Software,Pune,Technology,Seed Funding,8.25
2016-07-15,BankerBay,Consumer Internet,Online Investment Banking platform,Bangalore,Consumer Internet,Private Equity,16.5
2016-07-15,BaggOut,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,Delhi,eCommerce,Seed Funding,0.0
2016-07-15,TripShelf,eCommerce,Travel Package Marketplace,Delhi,eCommerce,Seed Funding,2.0625
2016-07-15,SatvaCart,eCommerce,Online Grocers,Delhi,eCommerce,Seed Funding,0.0
2016-07-15,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,Consumer Internet,Private Equity,49.5
2016-07-18,Yellowdig,Consumer Internet,Online Learning Platform,Pune,Consumer Internet,Seed Funding,5.3625
2016-07-18,Zuppler,Consumer Internet,Online Food Ordering platform,Delhi,Consumer Internet,Seed Funding,5.3625
2016-07-18,BlueStone,eCommerce,Jewellery Etailer,Mumbai,eCommerce,Private Equity,247.5
2016-07-18,underDOGS,Technology,Game Development Startup,Mumbai,Technology,Private Equity,0.0
2016-07-18,ImageProVision,Technology,Image Analysis Solutions,Pune,Technology,Seed Funding,0.0
2016-07-19,Sagacito,Technology,Cloud-Based Enterprise Solutions,Delhi,Technology,Private Equity,82.5
2016-07-19,Deal4Loans / Wishfin,Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Consumer Internet,Private Equity,123.75
2016-07-19,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bangalore,Technology,Private Equity,8.25
2016-07-19,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurugram,Consumer Internet,Seed Funding,2.0625
2016-07-20,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Consumer Internet,Private Equity,8.25
2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,Logistics,Seed Funding,4.90875
2016-07-20,iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Pune,Consumer Internet,Seed Funding,0.0
2016-07-21,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,Delhi,Consumer Internet,Private Equity,8.25
2016-07-21,AbeRuk,eCommerce,Online Marketplace for books,Bangalore,eCommerce,Seed Funding,0.0
2016-07-21,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Consumer Internet,Seed Funding,4.90875
2016-01-06,Chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Consumer Internet,Seed Funding,0.0
2016-01-06,BRIDGEi2I,Technology,Data Analytics Platform,Bangalore,Technology,Private Equity,0.0
2016-02-06,Droom,eCommerce,Online marketplace for used automobiles,Delhi,eCommerce,Private Equity,0.0
2016-02-06,Visit,Consumer Internet,On-Demand Healthcare Service provider,Delhi,Consumer Internet,Seed Funding,0.0
2016-02-06,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Technology,Private Equity,8.25
2016-02-06,Coutloot,eCommerce,Fashion Re-Commerce Platform,Mumbai,eCommerce,Seed Funding,0.0
2016-02-06,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Consumer Internet,Private Equity,8.25
2016-03-06,iCliniq,Consumer Internet,Doctor Consultation platform,Bangalore,Consumer Internet,Seed Funding,0.0
2016-03-06,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Consumer Internet,Seed Funding,0.61875
2016-03-06,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,Delhi,Healthcare,Private Equity,16.5
2016-06-06,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Consumer Internet,Seed Funding,3.696
2016-07-06,CueMath,Education,K-12 Maths Learning Courses,Bangalore,Education,Private Equity,33.0
2016-07-06,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bangalore,Consumer Internet,Private Equity,16.5
2016-07-06,Intgrea,Technology,Post merger Integration Partners,Bangalore,Technology,Seed Funding,0.825
2016-07-06,HelpShift,Technology,Mobile CRM Platform,Pune,Technology,Private Equity,189.75
2016-07-06,CreditVidya,Technology,Credit Scoring Platform,Mumbai,Technology,Private Equity,8.25
2016-08-06,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Consumer Internet,Seed Funding,8.25
2016-08-06,ListUp,eCommerce,Location based Classified Mobile app,Mumbai,eCommerce,Seed Funding,4.125
2016-08-06,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Technology,Seed Funding,1.65
2016-08-06,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurugram,Consumer Internet,Seed Funding,0.0
2016-08-06,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bangalore,Consumer Internet,Seed Funding,0.0
2016-08-06,StoreKing,eCommerce,Connecting Small Town Consumers to E-Commerce,Bangalore,eCommerce,Private Equity,132.0
2016-08-06,Wired Hub,Real Estate,Co-Working Spaces,Jaipur,Real Estate,Seed Funding,0.0
2016-08-06,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurugram,Consumer Internet,Seed Funding,1.65
2016-09-06,Teabox,eCommerce,Online Tea Store,Siliguri,eCommerce,Seed Funding,0.0
2016-09-06,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,Consumer Internet,Seed Funding,0.0
2016-09-06,EPayLater,Technology,Fin-Tech Platform,Mumbai,Technology,Seed Funding,16.5
2016-10-06,Kyazoonga,eCommerce,Online event ticketing Platform,Mumbai,eCommerce,Seed Funding,0.0
2016-10-06,Paytunes,Consumer Internet,Mobile based rewards platform,Delhi,Consumer Internet,Private Equity,4.125
2016-10-06,Kickstart Jobs,Technology,Entry level hiring platform,Gurugram,Technology,Seed Funding,0.0
2016-10-06,Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,FMCG,Private Equity,0.0
2016-10-06,MadRat Games,Technology,Wearable Gaming Platform,Bangalore,Technology,Seed Funding,0.0
2016-11-06,Jazzmyride,eCommerce,Auto Parts & Accessories eTailer,Delhi,eCommerce,Private Equity,0.0
2016-11-06,AutoSense,Technology,Data Analytics based Customer Management Services,Delhi,Technology,Private Equity,0.0
2016-11-06,Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,Consumer Internet,Private Equity,0.0
2016-06-13,KhanaGadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,Consumer Internet,Seed Funding,0.0
2016-06-13,Bombay Shirt Company,eCommerce,Online custom Shirt retailer,Mumbai,eCommerce,Private Equity,8.25
2016-06-14,EdTechReview,Consumer Internet,Education based online portal,Delhi,Consumer Internet,Seed Funding,0.0
2016-06-14,Bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,Delhi,Food & Beverage,Private Equity,0.0
2016-06-14,Gobolt,Logistics,B2B Logistics provider,Delhi,Logistics,Seed Funding,0.0
2016-06-14,Jivox,Technology,Data Driven Advertising platform,Bangalore,Technology,Private Equity,49.5
2016-06-14,Sminq,Consumer Internet,Queue management Mobile app,Pune,Consumer Internet,Seed Funding,8.25
2016-06-14,CureJoy,Consumer Internet,Online Alternative health community platform,Bangalore,Consumer Internet,Private Equity,36.3
2016-06-15,Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,Consumer Internet,Seed Funding,3.7125
2016-06-15,GrabOnRent,eCommerce,On-demand product rental marketplace,Bangalore,eCommerce,Private Equity,0.0
2016-06-16,Diro Labs,Consumer Internet,Contact Management Mobile App,Delhi,Consumer Internet,Private Equity,3.7125
2016-06-16,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurugram,Consumer Internet,Private Equity,4.95
2016-06-16,Athletto,Consumer Internet,Sports Venue discovery and booking platform,Bangalore,Consumer Internet,Seed Funding,0.0
2016-06-16,Saavn,Consumer Internet,Web/Mobile Music Streaming service,USA,Consumer Internet,Private Equity,0.0
2016-06-16,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,eCommerce,Private Equity,165.0
2016-06-16,ThinkPhi,Technology,Sustainable Green Tech Solution developer,Mumbai,Technology,Seed Funding,0.0
2016-06-17,Cleartax,Consumer Internet,Online Tax Filing Platform,Delhi,Consumer Internet,Private Equity,99.0
2016-06-17,Silvan Innovation Labs,Technology,Home Automation Solutions,Bangalore,Technology,Private Equity,7.425
2016-06-17,GreytHR,Technology,Payroll & HR Software Developer,Bangalore,Technology,Private Equity,42.9
2016-06-17,Duffl,eCommerce,Fashion Rental Marketplace,Bangalore,eCommerce,Seed Funding,0.0
2016-06-17,BYG,Consumer Internet,Fitness centre Discovery & Booking Mobile app,Bangalore,Consumer Internet,Seed Funding,0.0
2016-06-20,Dipper,eCommerce,Freight Logistics Marketplace,Delhi,eCommerce,Seed Funding,0.0
2016-06-20,Qonfuse,Consumer Internet,Online Test Papers for competitive exams,Delhi,Consumer Internet,Seed Funding,0.0
2016-06-20,The Indian IRIS,Consumer Internet,Govt Policy Research & Information portal,Ahmedabad,Consumer Internet,Seed Funding,0.0
2016-06-21,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Consumer Internet,Seed Funding,1.2375
2016-06-21,REstate,Consumer Internet,Real Estate Platform,Bangalore,Consumer Internet,Seed Funding,0.0
2016-06-21,Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,Consumer Internet,Private Equity,0.0
2016-06-21,ProcMart,Consumer Internet,Online Procurement Marketplace,Noida,Consumer Internet,Private Equity,0.0
2016-06-21,Celerix,Technology,Fintech Product Development & Services Startup,Bangalore,Technology,Seed Funding,3.3
2016-06-21,NatureNama,Consumer Internet,Online Outdoors & travel,Mumbai,Consumer Internet,Seed Funding,1.85625
2016-06-21,CyclopsMedtech,Technology,Medical Technology Provider,Bangalore,Technology,Seed Funding,0.0
2016-06-21,Syona Cosmetics,FMCG,Beauty Products & Training to Salons & Spas,Chennai,FMCG,Seed Funding,1.2375
2016-06-21,PrettySecrets,eCommerce,Women Lingerie Store,Mumbai,eCommerce,Private Equity,49.5
2016-06-22,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,Consumer Internet,Seed Funding,1.2375
2016-06-23,FarEye,Technology,Logistics Management Software,Delhi,Technology,Private Equity,28.875
2016-06-23,The Uolo,Consumer Internet,School Parent Communication App,Bangalore,Consumer Internet,Seed Funding,1.7325
2016-06-23,Staqu,Technology,Artificial Intelligence based search platform,Gurugram,Technology,Seed Funding,0.0
2016-06-23,Padhopadhao,Consumer Internet,Home Tutors search & Discovery,Delhi,Consumer Internet,Private Equity,0.0
2016-06-24,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,Consumer Internet,Seed Funding,0.4125
2016-06-24,PratiLipi,Consumer Internet,Multi-Lingual self-publishing platform,Bangalore,Consumer Internet,Seed Funding,0.0
2016-06-24,ParaBlu,Technology,Cloud Data Security & Privacy Solutions,Bangalore,Technology,Seed Funding,4.125
2016-06-24,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,Logistics,Private Equity,49.5
2016-06-24,LEAP India,Others,Supply Chain Equipment & Services provider,Mumbai,Others,Private Equity,24.75
2016-06-24,KabadiExpress,Others,Free Door Step Scrap Pickup Service,Delhi,Others,Seed Funding,1.221
2016-06-27,YourDost,Consumer Internet,Online counselling & Personal coaching platform,Bangalore,Consumer Internet,Seed Funding,9.9
2016-06-27,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bangalore,Consumer Internet,Seed Funding,0.825
2016-06-27,Voler Cars,Consumer Internet,Self-Driven Car rental platform,Delhi,Consumer Internet,Seed Funding,0.0
2016-06-27,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,Consumer Internet,Private Equity,24.75
2016-06-28,FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurugram,Consumer Internet,Private Equity,66.0
2016-06-28,Locanix,Technology,GPS based SaaS Solutions,Ahmedabad,Technology,Seed Funding,2.475
2016-06-28,LendingKart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,Consumer Internet,Private Equity,264.0
2016-06-28,Hello Tax,Consumer Internet,Online Tax Filing Platform,Delhi,Consumer Internet,Seed Funding,2.43375
2016-06-28,MySuperBrain,Consumer Internet,Online Talent Discovery Platform for Kids,Hyderabad,Consumer Internet,Seed Funding,0.0
2016-06-28,BlogBeats,Consumer Internet,Online Blogging Platform,Bangalore,Consumer Internet,Seed Funding,0.0
2016-06-29,LetReach,eCommerce,ECommerce SAAS Solutions,Delhi,eCommerce,Private Equity,0.825
2016-06-29,TrendieApp,Technology,Visual Content Marketing,Kolkata,Technology,Seed Funding,0.4125
2016-06-29,ImpactGuru,Consumer Internet,Crowdfunding Platform,Mumbai,Consumer Internet,Seed Funding,0.0
2016-06-29,Velvetcase,eCommerce,Online designer jewellery marketplace,Mumbai,eCommerce,Private Equity,12.375
2016-06-30,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Consumer Internet,Private Equity,206.25
2016-06-30,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bangalore,Consumer Internet,Seed Funding,1.815
2016-06-30,Scripbox,Consumer Internet,Online Mutual Fund Investment platform,Bangalore,Consumer Internet,Private Equity,0.0
2016-06-30,Biryani Blues,Food & Beverage,QSR Chain,Gurugram,Food & Beverage,Private Equity,3.036
2016-01-05,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,Consumer Internet,Seed Funding,0.0
2016-01-05,Get My Parking,Technology,Parking Technology Platform,Delhi,Technology,Seed Funding,3.102
2016-01-05,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Consumer Internet,Seed Funding,1.19625
2016-02-05,Airwood,Technology,Agri Data & Analytics Platform,Chennai,Technology,Seed Funding,0.0
2016-03-05,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurugram,Consumer Internet,Private Equity,412.5
2016-03-05,iDreamCareer,Consumer Internet,Career Planning Services Portal,Delhi,Consumer Internet,Private Equity,0.0
